id,outlet,url,published_at,title,lead,rubric,language,country
d232f30eb9f0,kommersant,https://www.kommersant.ru/doc/8335899,2025-12-30 01:01:00,ЖЖ ограничил возможность создавать публичные посты,,Телекоммуникации,ru,RU
279ac52a3a55,kommersant,https://www.kommersant.ru/doc/8335959,2025-12-30 08:37:00,Актер Джордж Клуни с семьей получил гражданство Франции,,Культура,ru,RU
e5a216bbd100,kommersant,https://www.kommersant.ru/doc/8335990,2025-12-30 09:27:00,«Известия»: банки стали чаще блокировать переводы клиентов самим себе,,Финансы,ru,RU
0e4517505c8d,kommersant,https://www.kommersant.ru/doc/8335989,2025-12-30 09:35:00,«Уральские авиалинии» опровергли сообщения о застрявшем в Стамбуле «самолете-призраке»,,Бизнес,ru,RU
cd0a3a4d6fc5,kommersant,https://www.kommersant.ru/doc/8335994,2025-12-30 09:48:00,Bloomberg: в декабре Индия закупит у России минимальный объем нефти с 2022 года,,Бизнес,ru,RU
b9349db88372,kommersant,https://www.kommersant.ru/doc/8336024,2025-12-30 10:13:00,Аэропорт Домодедово выставят на продажу в начале 2026 года,,Бизнес,ru,RU
78a43b21c03b,kommersant,https://www.kommersant.ru/doc/8336038,2025-12-30 10:16:00,Правительство увеличило квоту на экспорт лома и отходов черных металлов,,Экономика,ru,RU
5d806f634e92,kommersant,https://www.kommersant.ru/doc/8336041,2025-12-30 10:19:00,"Силуанов: дефицит бюджета в 2025 году не выйдет за рамки плановых 2,6% ВВП",,Экономика,ru,RU
a13fa2a20fba,kommersant,https://www.kommersant.ru/doc/8336049,2025-12-30 10:32:00,Силуанов оценил годовой доход от повышенного НДФЛ в 750 млрд рублей,,Экономика,ru,RU
d03bbea765f4,kommersant,https://www.kommersant.ru/doc/8336064,2025-12-30 10:50:00,"Индекс деловой активности в сфере услуг России вырос до 52,3 пункта в декабре",,Бизнес,ru,RU
107de911f99d,kommersant,https://www.kommersant.ru/doc/8336052,2025-12-30 11:00:00,В Германии прекратили еще одно расследование в отношении Алишера Усманова,,Бизнес,ru,RU
4741f3f9c818,kommersant,https://www.kommersant.ru/doc/8336067,2025-12-30 11:05:00,МВД напомнило москвичам про запрет на пиротехнику в Новый год,,Общество,ru,RU
6954c25c3dac,kommersant,https://www.kommersant.ru/doc/8336081,2025-12-30 11:13:00,АвтоВАЗ проиндексирует цены на Lada c января 2026 года,,Бизнес,ru,RU
9f96b6370248,kommersant,https://www.kommersant.ru/doc/8336100,2025-12-30 11:28:00,«Известия»: авиакомпании получат 50 новых российских самолетов за два года,,Бизнес,ru,RU
8b986772ae57,kommersant,https://www.kommersant.ru/doc/8336077,2025-12-30 11:29:00,Муж погибшей при пожаре в «Зимней вишне» добился миллионной компенсации,,Общество,ru,RU
e15580d7507b,kommersant,https://www.kommersant.ru/doc/8336088,2025-12-30 11:43:00,Объем транзакций через систему «Мир» превысил 100 трлн рублей,,Финансы,ru,RU
3d3cf00010ea,kommersant,https://www.kommersant.ru/doc/8336123,2025-12-30 11:43:00,Минфин скоро выставит ЮГК на открытый аукцион,,Бизнес,ru,RU
4e401e8df747,kommersant,https://www.kommersant.ru/doc/8336103,2025-12-30 11:51:00,У Hyundai выходит время,для выкупа бывшего предприятия в России,Авто,ru,RU
2eb7881c9353,kommersant,https://www.kommersant.ru/doc/8336129,2025-12-30 11:51:00,Минтранс запустит интерактивную карту с маршрутом Деда Мороза,,Общество,ru,RU
fd66dfa0de8d,kommersant,https://www.kommersant.ru/doc/8336150,2025-12-30 12:14:00,Белоусов подписал приказ о круглогодичном призыве на военную службу,,Политика,ru,RU
edd6c871ee97,kommersant,https://www.kommersant.ru/doc/8336140,2025-12-30 12:15:00,Британского актера Идриса Эльбу посвятили в рыцари,,Культура,ru,RU
b42185eb8845,kommersant,https://www.kommersant.ru/doc/8336155,2025-12-30 12:18:00,Долина не обжаловала решение о выселении из квартиры в Хамовниках,,Общество,ru,RU
232f06f0f235,kommersant,https://www.kommersant.ru/doc/8335913,2025-12-30 12:20:00,"«Ты созидаешь, а вокруг тебя все разрушается»",В России появилось сообщество организаций паллиативной помощи,Общество,ru,RU
10426bdbe39b,kommersant,https://www.kommersant.ru/doc/8336162,2025-12-30 12:27:00,Вертолет Ми-34М1 впервые испытали с российским двигателем,,Бизнес,ru,RU
9ad36160f160,kommersant,https://www.kommersant.ru/doc/8336154,2025-12-30 12:35:00,"Стоимость покупки одного пенсионного балла вырастет до 65,6 тыс. рублей",,Экономика,ru,RU
4988cd1e06ca,kommersant,https://www.kommersant.ru/doc/8336180,2025-12-30 12:44:00,Российская армия взяла Лукьяновское и Богуславку,,Политика,ru,RU
53f1a9c87297,kommersant,https://www.kommersant.ru/doc/8336190,2025-12-30 12:48:00,Депутат Аксаков: с 1 сентября россияне смогут получать зарплату в цифровом рубле,,Финансы,ru,RU
4c56c253f77a,kommersant,https://www.kommersant.ru/doc/8336198,2025-12-30 12:58:00,Песков отказался обсуждать местонахождение Путина,,Политика,ru,RU
8814e5c6b78c,kommersant,https://www.kommersant.ru/doc/8336166,2025-12-30 13:30:00,"Спрос на бронь жилья в Рязани вырос в 2,5 раза",,Потребительский рынок,ru,RU
3d70e11f1949,kommersant,https://www.kommersant.ru/doc/8329364,2025-12-30 13:47:00,Что ждет россиян в 2026 году,Краткий обзор основных законодательных изменений,Телекоммуникации,ru,RU
2cfce7ef60e1,kommersant,https://www.kommersant.ru/doc/8336247,2025-12-30 13:47:00,Песков рассказал об ответе российской армии на атаку ВСУ на резиденцию Путина,,Мир,ru,RU
bdd1d76dfc70,kommersant,https://www.kommersant.ru/doc/8336241,2025-12-30 13:53:00,Долина через адвоката пообещала покинуть проданную квартиру не позже 5 января,,Происшествия,ru,RU
7887d87c0c31,kommersant,https://www.kommersant.ru/doc/8336221,2025-12-30 13:54:00,Песков рассказал о своих ожиданиях в 2026 году,,Мир,ru,RU
4f324f172cc4,kommersant,https://www.kommersant.ru/doc/8335582,2025-12-30 13:58:00,Финальная встреча под часами 2025 года,Что нового было на Dubai Watch Week,Стиль,ru,RU
d8329d30f80f,kommersant,https://www.kommersant.ru/doc/8336246,2025-12-30 13:59:00,ЦБ: бюджетные платежи в цифровых рублях для россиян будут без комиссии,,Финансы,ru,RU
ccf86d5e0541,kommersant,https://www.kommersant.ru/doc/8336264,2025-12-30 14:04:00,Между Москвой и Минском запустят ночной безостановочный поезд «Ласточка»,,Бизнес,ru,RU
3a760d1b8289,kommersant,https://www.kommersant.ru/doc/8336270,2025-12-30 14:12:00,Президент Казахстана ограничил пропаганду запрещенного ЛГБТ и педофилии,,Мир,ru,RU
fb513a436db7,kommersant,https://www.kommersant.ru/doc/8336268,2025-12-30 14:18:00,Два танкера столкнулись из-за сильного ветра у берегов Стамбула,,Мир,ru,RU
ee00f84e938a,kommersant,https://www.kommersant.ru/doc/8336283,2025-12-30 14:24:00,Россия и Белоруссия подписали соглашение об общем рынке ювелирных изделий,,Бизнес,ru,RU
79cf3d10b75f,kommersant,https://www.kommersant.ru/doc/8336286,2025-12-30 14:29:00,Путин созвонился с президентом Казахстана Токаевым,,Мир,ru,RU
8a488b1171ac,kommersant,https://www.kommersant.ru/doc/8336259,2025-12-30 14:35:00,«Шансы на допуск российских сборной и клубов все-таки есть»,Владимир Осипов — о решении FIFA и UEFA в отношении спортсменов из РФ,Спорт,ru,RU
100a5908d38a,kommersant,https://www.kommersant.ru/doc/8336292,2025-12-30 14:39:00,Бывший вице-губернатор Свердловской области Олег Чемезов вышел из СИЗО,,Происшествия,ru,RU
30f9e4611ef1,kommersant,https://www.kommersant.ru/doc/8336295,2025-12-30 14:40:00,Литва решила заминировать мосты на границе с Россией и Белоруссией,,Мир,ru,RU
e3db9712046f,kommersant,https://www.kommersant.ru/doc/8336284,2025-12-30 14:41:00,"В Москве задержали мужчину, плеснувшего кипятком в лицо пассажирки метро",,Общество,ru,RU
603d7945f39a,kommersant,https://www.kommersant.ru/doc/8336288,2025-12-30 14:45:00,Акционеры ЛУКОЙЛа утвердили дивиденды по 397 рублей за акцию,,Бизнес,ru,RU
c7d81346c624,kommersant,https://www.kommersant.ru/doc/8336267,2025-12-30 14:54:00,В Турции задержали более 350 подозреваемых в причастности к запрещенному ИГ,,Мир,ru,RU
d0bd06aad633,kommersant,https://www.kommersant.ru/doc/8336306,2025-12-30 14:54:00,ФАС одобрила сделку о покупке «Росспиртпромом» 100% акций «Татспиртпрома»,,Бизнес,ru,RU
2d3e5de471a2,kommersant,https://www.kommersant.ru/doc/8336281,2025-12-30 14:55:00,Мосбиржа объявила расписание торгов в праздничные дни 2026 года,,Финансы,ru,RU
69c3ce9da957,kommersant,https://www.kommersant.ru/doc/8336300,2025-12-30 14:57:00,Бахчисарайский район Крыма частично обесточен из-за сильного снегопада,,Общество,ru,RU
de5dc44c9533,kommersant,https://www.kommersant.ru/doc/8336313,2025-12-30 14:58:00,Песков: Россия не будет публично обсуждать тему ужесточения позиции по Украине,,Мир,ru,RU
6a065ba2b455,kommersant,https://www.kommersant.ru/doc/8336309,2025-12-30 15:02:00,В Калужской области погиб бывший депутат Свириденко,,Происшествия,ru,RU
591ce087b008,kommersant,https://www.kommersant.ru/doc/8336317,2025-12-30 15:03:00,ФСБ предотвратила теракт в одной из школ Адыгеи,,Происшествия,ru,RU
663e37bce521,kommersant,https://www.kommersant.ru/doc/8336307,2025-12-30 15:07:00,Цивилева доложила Путину о работе фонда «Защитники Отечества»,,Общество,ru,RU
ca86a88a23b8,kommersant,https://www.kommersant.ru/doc/8336330,2025-12-30 15:12:00,Роспотребнадзор: в России доминирует гонконгский грипп,,Общество,ru,RU
