id,outlet,url,published_at,title,lead,rubric,language,country
342e1b327fed,vedomosti,https://www.vedomosti.ru/technology/news/2026/03/27/1186002-gospodderzhku-sotssetei,2026-03-27 10:54:24,Совбез предложил обеспечить господдержку выхода соцсетей РФ за рубеж,,Технологии / Интернет и digital,ru,RU
b46a39198802,vedomosti,https://www.vedomosti.ru/technology/news/2026/03/27/1186004-pervii-polet-novogo,2026-03-27 11:04:07,Первый полет нового пилотируемого корабля назначен на 2028 год,,Технологии / Наукоемкие технологии,ru,RU
ba9e5ac145ff,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186006-ataki-ukraini,2026-03-27 11:04:56,Россия и Турция обсудили атаки Украины в Черном море,,Политика / Международные отношения,ru,RU
9c67c45607a2,vedomosti,https://www.vedomosti.ru/business/news/2026/03/27/1186005-elektrosamokati-yandeksa,2026-03-27 11:06:55,Электросамокаты «Яндекса» начали собирать на заводе «Москвич»,,Бизнес / Транспорт,ru,RU
8bab47c8311e,vedomosti,https://www.vedomosti.ru/business/news/2026/03/27/1186012-zaimutsya-modernizatsiei,2026-03-27 11:21:47,«Единая Россия» и РЖД займутся модернизацией вокзалов в регионах,,Бизнес / Транспорт,ru,RU
3d59538d19d4,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186015-ssha-vipustili,2026-03-27 11:30:01,США выпустили более 850 ракет Tomahawk за четыре недели войны с Ираном,,Политика / Международные новости,ru,RU
75c1ece45303,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186016-zaharova-uchastvovavshie,2026-03-27 11:32:44,Захарова: участвовавшие в пытках над солдатами РФ будут наказаны,,Политика / Международные отношения,ru,RU
6f68f8f1ccde,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186020-putin-otkril-teatr,2026-03-27 11:41:49,Путин открыл обновленный Азербайджанский театр в Дербенте,,Политика / Власть,ru,RU
452ee5f46713,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186017-medvedev-predupredil,2026-03-27 11:44:23,Медведев предупредил США о последствиях как во Вьетнаме при вторжении в Иран,,Политика / Международные новости,ru,RU
f2756dbdf9a6,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186019-premer-ministr-mongolii,2026-03-27 11:48:37,Премьер-министр Монголии подал в отставку,,Политика / Международные новости,ru,RU
e98f9fb652b9,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186022-nazval-prochnoi,2026-03-27 11:56:09,Путин назвал прочной основу отношений России и Азербайджана,,Политика / Международные отношения,ru,RU
fb1d6d2eefaa,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186021-delyagin-vizit-rossiiskih,2026-03-27 12:00:11,Делягин: визит российских депутатов в США готовился в закрытом режиме,,Политика / Международные отношения,ru,RU
9384e97a2d2d,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186025-nuzhna-li-mobilizatsiya,2026-03-27 12:12:19,"Медведев рассказал, нужна ли новая мобилизация",,Политика,ru,RU
05ab22557081,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186028-noski-s-trampom,2026-03-27 12:14:38,Конгрессмены США подарили делегации РФ носки с Трампом,,Политика / Международные отношения,ru,RU
